p,rho,theta,lamda
1789.4736842105262,462.85867072019784,2.0106192982974678,0.07368421052631578
1789.4736842105262,469.1853035216467,2.0106192982974678,0.07894736842105263
1789.4736842105262,475.18802666026386,2.0106192982974678,0.08421052631578947
1789.4736842105262,480.90192131952426,2.0106192982974678,0.08947368421052632
1789.4736842105262,486.3564920201524,2.0106192982974678,0.09473684210526316
1789.4736842105262,491.5768054093586,2.0106192982974678,0.1
2000.0,204.12414523193166,2.0106192982974678,0.0
2000.0,283.96884686351024,2.0106192982974678,0.005263157894736842
2000.0,319.679115664953,2.0106192982974678,0.010526315789473684
2000.0,344.1942507161706,2.0106192982974678,0.015789473684210527
2000.0,363.2315789700553,2.0106192982974678,0.021052631578947368
2000.0,378.95397206151176,2.0106192982974678,0.02631578947368421
2000.0,392.4314165794704,2.0106192982974678,0.031578947368421054
2000.0,404.2773140870187,2.0106192982974678,0.03684210526315789
2000.0,414.8783210193119,2.0106192982974678,0.042105263157894736
2000.0,424.49496818218967,2.0106192982974678,0.04736842105263158
2000.0,433.311723523233,2.0106192982974678,0.05263157894736842
2000.0,441.4643082980897,2.0106192982974678,0.05789473684210526
2000.0,449.0556833762282,2.0106192982974678,0.06315789473684211
2000.0,456.1659355609682,2.0106192982974678,0.06842105263157895
2000.0,462.85867072019784,2.0106192982974678,0.07368421052631578
2000.0,469.1853035216467,2.0106192982974678,0.07894736842105263
2000.0,475.18802666026386,2.0106192982974678,0.08421052631578947
2000.0,480.90192131952426,2.0106192982974678,0.08947368421052632
2000.0,486.3564920201524,2.0106192982974678,0.09473684210526316
2000.0,491.5768054093586,2.0106192982974678,0.1
-2000.0,204.1241452319315,2.1362830044410597,0.0
-2000.0,283.9688468635102,2.1362830044410597,0.005263157894736842
-2000.0,319.6791156649529,2.1362830044410597,0.010526315789473684
-2000.0,344.1942507161706,2.1362830044410597,0.015789473684210527
-2000.0,363.23157897005535,2.1362830044410597,0.021052631578947368
-2000.0,378.95397206151176,2.1362830044410597,0.02631578947368421
-2000.0,392.43141657947075,2.1362830044410597,0.031578947368421054
-2000.0,404.2773140870191,2.1362830044410597,0.03684210526315789
-2000.0,414.87832101931195,2.1362830044410597,0.042105263157894736
-2000.0,424.4949681821899,2.1362830044410597,0.04736842105263158
-2000.0,433.3117235232333,2.1362830044410597,0.05263157894736842
-2000.0,441.4643082980899,2.1362830044410597,0.05789473684210526
-2000.0,449.0556833762282,2.1362830044410597,0.06315789473684211
-2000.0,456.16593556096814,2.1362830044410597,0.06842105263157895
-2000.0,462.8586707201979,2.1362830044410597,0.07368421052631578
-2000.0,469.1853035216469,2.1362830044410597,0.07894736842105263
-2000.0,475.1880266602639,2.1362830044410597,0.08421052631578947
-2000.0,480.90192131952466,2.1362830044410597,0.08947368421052632
-2000.0,486.3564920201526,2.1362830044410597,0.09473684210526316
-2000.0,491.57680540935866,2.1362830044410597,0.1
-1789.4736842105262,204.1241452319315,2.1362830044410597,0.0
-1789.4736842105262,283.9688468635102,2.1362830044410597,0.005263157894736842
-1789.4736842105262,319.6791156649529,2.1362830044410597,0.010526315789473684
-1789.4736842105262,344.1942507161706,2.1362830044410597,0.015789473684210527
-1789.4736842105262,363.23157897005535,2.1362830044410597,0.021052631578947368
-1789.4736842105262,378.95397206151176,2.1362830044410597,0.02631578947368421
-1789.4736842105262,392.43141657947075,2.1362830044410597,0.031578947368421054
-1789.4736842105262,404.2773140870191,2.1362830044410597,0.03684210526315789
-1789.4736842105262,414.87832101931167,2.1362830044410597,0.042105263157894736
-1789.4736842105262,424.4949681821899,2.1362830044410597,0.04736842105263158
-1789.4736842105262,433.3117235232333,2.1362830044410597,0.05263157894736842
-1789.4736842105262,441.46430829808963,2.1362830044410597,0.05789473684210526
-1789.4736842105262,449.0556833762282,2.1362830044410597,0.06315789473684211
-1789.4736842105262,456.16593556096853,2.1362830044410597,0.06842105263157895
-1789.4736842105262,462.8586707201979,2.1362830044410597,0.07368421052631578
-1789.4736842105262,469.18530352164663,2.1362830044410597,0.07894736842105263
-1789.4736842105262,475.1880266602639,2.1362830044410597,0.08421052631578947
-1789.4736842105262,480.90192131952426,2.1362830044410597,0.08947368421052632
-1789.4736842105262,486.3564920201526,2.1362830044410597,0.09473684210526316
-1789.4736842105262,491.57680540935866,2.1362830044410597,0.1
-1578.9473684210527,204.1241452319315,2.1362830044410597,0.0
-1578.9473684210527,283.9688468635102,2.1362830044410597,0.005263157894736842
-1578.9473684210527,319.6791156649529,2.1362830044410597,0.010526315789473684
-1578.9473684210527,344.1942507161706,2.1362830044410597,0.015789473684210527
-1578.9473684210527,363.23157897005524,2.1362830044410597,0.021052631578947368
-1578.9473684210527,378.95397206151176,2.1362830044410597,0.02631578947368421
-1578.9473684210527,392.4314165794706,2.1362830044410597,0.031578947368421054
-1578.9473684210527,404.2773140870191,2.1362830044410597,0.03684210526315789
-1578.9473684210527,414.87832101931184,2.1362830044410597,0.042105263157894736
-1578.9473684210527,424.4949681821899,2.1362830044410597,0.04736842105263158
-1578.9473684210527,433.3117235232333,2.1362830044410597,0.05263157894736842
-1578.9473684210527,441.4643082980897,2.1362830044410597,0.05789473684210526
-1578.9473684210527,449.0556833762282,2.1362830044410597,0.06315789473684211
-1578.9473684210527,456.16593556096836,2.1362830044410597,0.06842105263157895
-1578.9473684210527,462.8586707201979,2.1362830044410597,0.07368421052631578
-1578.9473684210527,469.18530352164686,2.1362830044410597,0.07894736842105263
-1578.9473684210527,475.1880266602639,2.1362830044410597,0.08421052631578947
-1578.9473684210527,480.9019213195245,2.1362830044410597,0.08947368421052632
-1578.9473684210527,486.3564920201526,2.1362830044410597,0.09473684210526316
-1578.9473684210527,491.57680540935866,2.1362830044410597,0.1
-1368.421052631579,204.1241452319315,2.1362830044410597,0.0
-1368.421052631579,283.9688468635102,2.1362830044410597,0.005263157894736842
-1368.421052631579,319.6791156649529,2.1362830044410597,0.010526315789473684
-1368.421052631579,344.1942507161706,2.1362830044410597,0.015789473684210527
-1368.421052631579,363.23157897005524,2.1362830044410597,0.021052631578947368
-1368.421052631579,378.95397206151176,2.1362830044410597,0.02631578947368421
-1368.421052631579,392.4314165794706,2.1362830044410597,0.031578947368421054
-1368.421052631579,404.2773140870191,2.1362830044410597,0.03684210526315789
-1368.421052631579,414.87832101931184,2.1362830044410597,0.042105263157894736
-1368.421052631579,424.4949681821899,2.1362830044410597,0.04736842105263158
-1368.421052631579,433.3117235232333,2.1362830044410597,0.05263157894736842
-1368.421052631579,441.4643082980897,2.1362830044410597,0.05789473684210526
-1368.421052631579,449.0556833762282,2.1362830044410597,0.06315789473684211
-1368.421052631579,456.16593556096836,2.1362830044410597,0.06842105263157895
-1368.421052631579,462.8586707201979,2.1362830044410597,0.07368421052631578
-1368.421052631579,469.18530352164686,2.1362830044410597,0.07894736842105263
-1368.421052631579,475.1880266602639,2.1362830044410597,0.08421052631578947
-1368.421052631579,480.9019213195245,2.1362830044410597,0.08947368421052632
-1368.421052631579,486.3564920201526,2.1362830044410597,0.09473684210526316
-1368.421052631579,491.57680540935866,2.1362830044410597,0.1
-1157.8947368421054,204.12414523193152,2.1362830044410597,0.0
-1157.8947368421054,283.96884686351024,2.1362830044410597,0.005263157894736842
-1157.8947368421054,319.679115664953,2.1362830044410597,0.010526315789473684
-1157.8947368421054,344.19425071617064,2.1362830044410597,0.015789473684210527
-1157.8947368421054,363.23157897005535,2.1362830044410597,0.021052631578947368
-1157.8947368421054,378.95397206151154,2.1362830044410597,0.02631578947368421
-1157.8947368421054,392.4314165794706,2.1362830044410597,0.031578947368421054
-1157.8947368421054,404.27731408701885,2.1362830044410597,0.03684210526315789
-1157.8947368421054,414.87832101931195,2.1362830044410597,0.042105263157894736
-1157.8947368421054,424.49496818218967,2.1362830044410597,0.04736842105263158
-1157.8947368421054,433.31172352323324,2.1362830044410597,0.05263157894736842
-1157.8947368421054,441.4643082980897,2.1362830044410597,0.05789473684210526
-1157.8947368421054,449.05568337622833,2.1362830044410597,0.06315789473684211
-1157.8947368421054,456.1659355609685,2.1362830044410597,0.06842105263157895
-1157.8947368421054,462.8586707201978,2.1362830044410597,0.07368421052631578
-1157.8947368421054,469.1853035216468,2.1362830044410597,0.07894736842105263
-1157.8947368421054,475.18802666026374,2.1362830044410597,0.08421052631578947
-1157.8947368421054,480.90192131952455,2.1362830044410597,0.08947368421052632
-1157.8947368421054,486.3564920201526,2.1362830044410597,0.09473684210526316
-1157.8947368421054,491.5768054093587,2.1362830044410597,0.1
-947.3684210526317,204.12414523193158,2.1362830044410597,0.0
-947.3684210526317,283.96884686351035,2.1362830044410597,0.005263157894736842
-947.3684210526317,319.67911566495303,2.1362830044410597,0.010526315789473684
-947.3684210526317,344.19425071617076,2.1362830044410597,0.015789473684210527
-947.3684210526317,363.2315789700553,2.1362830044410597,0.021052631578947368
-947.3684210526317,378.95397206151165,2.1362830044410597,0.02631578947368421
-947.3684210526317,392.4314165794707,2.1362830044410597,0.031578947368421054
-947.3684210526317,404.2773140870189,2.1362830044410597,0.03684210526315789
-947.3684210526317,414.87832101931184,2.1362830044410597,0.042105263157894736
-947.3684210526317,424.4949681821897,2.1362830044410597,0.04736842105263158
-947.3684210526317,433.31172352323324,2.1362830044410597,0.05263157894736842
-947.3684210526317,441.46430829808986,2.1362830044410597,0.05789473684210526
-947.3684210526317,449.05568337622833,2.1362830044410597,0.06315789473684211
-947.3684210526317,456.16593556096836,2.1362830044410597,0.06842105263157895
-947.3684210526317,462.8586707201979,2.1362830044410597,0.07368421052631578
-947.3684210526317,469.18530352164686,2.1362830044410597,0.07894736842105263
-947.3684210526317,475.18802666026374,2.1362830044410597,0.08421052631578947
-947.3684210526317,480.9019213195244,2.1362830044410597,0.08947368421052632
-947.3684210526317,486.3564920201526,2.1362830044410597,0.09473684210526316
-947.3684210526317,491.5768054093587,2.1362830044410597,0.1
-736.8421052631579,204.12414523193158,2.1362830044410597,0.0
-736.8421052631579,283.96884686351035,2.1362830044410597,0.005263157894736842
-736.8421052631579,319.679115664953,2.1362830044410597,0.010526315789473684
-736.8421052631579,344.19425071617076,2.1362830044410597,0.015789473684210527
-736.8421052631579,363.2315789700553,2.1362830044410597,0.021052631578947368
-736.8421052631579,378.95397206151165,2.1362830044410597,0.02631578947368421
-736.8421052631579,392.4314165794707,2.1362830044410597,0.031578947368421054
-736.8421052631579,404.2773140870189,2.1362830044410597,0.03684210526315789
-736.8421052631579,414.87832101931184,2.1362830044410597,0.042105263157894736
-736.8421052631579,424.4949681821897,2.1362830044410597,0.04736842105263158
-736.8421052631579,433.31172352323324,2.1362830044410597,0.05263157894736842
-736.8421052631579,441.46430829808986,2.1362830044410597,0.05789473684210526
-736.8421052631579,449.05568337622833,2.1362830044410597,0.06315789473684211
-736.8421052631579,456.16593556096836,2.1362830044410597,0.06842105263157895
-736.8421052631579,462.8586707201979,2.1362830044410597,0.07368421052631578
-736.8421052631579,469.18530352164686,2.1362830044410597,0.07894736842105263
-736.8421052631579,475.18802666026374,2.1362830044410597,0.08421052631578947
-736.8421052631579,480.9019213195244,2.1362830044410597,0.08947368421052632
-736.8421052631579,486.3564920201526,2.1362830044410597,0.09473684210526316
-736.8421052631579,491.5768054093587,2.1362830044410597,0.1
-526.3157894736844,204.12414523193158,2.1362830044410597,0.0
-526.3157894736844,283.96884686351035,2.1362830044410597,0.005263157894736842
-526.3157894736844,319.679115664953,2.1362830044410597,0.010526315789473684
-526.3157894736844,344.19425071617076,2.1362830044410597,0.015789473684210527
-526.3157894736844,363.2315789700553,2.1362830044410597,0.021052631578947368
-526.3157894736844,378.95397206151165,2.1362830044410597,0.02631578947368421
-526.3157894736844,392.4314165794707,2.1362830044410597,0.031578947368421054
-526.3157894736844,404.2773140870189,2.1362830044410597,0.03684210526315789
-526.3157894736844,414.87832101931184,2.1362830044410597,0.042105263157894736
-526.3157894736844,424.4949681821897,2.1362830044410597,0.04736842105263158
-526.3157894736844,433.31172352323324,2.1362830044410597,0.05263157894736842
-526.3157894736844,441.46430829808986,2.1362830044410597,0.05789473684210526
-526.3157894736844,449.05568337622833,2.1362830044410597,0.06315789473684211
-526.3157894736844,456.16593556096836,2.1362830044410597,0.06842105263157895
-526.3157894736844,462.8586707201979,2.1362830044410597,0.07368421052631578
-526.3157894736844,469.18530352164686,2.1362830044410597,0.07894736842105263
-526.3157894736844,475.18802666026374,2.1362830044410597,0.08421052631578947
-526.3157894736844,480.9019213195245,2.1362830044410597,0.08947368421052632
-526.3157894736844,486.3564920201526,2.1362830044410597,0.09473684210526316
-526.3157894736844,491.5768054093587,2.1362830044410597,0.1
-315.78947368421063,204.12414523193155,2.1362830044410597,0.0
-315.78947368421063,283.96884686351035,2.1362830044410597,0.005263157894736842
-315.78947368421063,319.67911566495303,2.1362830044410597,0.010526315789473684
-315.78947368421063,344.19425071617064,2.1362830044410597,0.015789473684210527
-315.78947368421063,363.2315789700553,2.1362830044410597,0.021052631578947368
-315.78947368421063,378.95397206151154,2.1362830044410597,0.02631578947368421
-315.78947368421063,392.43141657947064,2.1362830044410597,0.031578947368421054
-315.78947368421063,404.2773140870189,2.1362830044410597,0.03684210526315789
-315.78947368421063,414.8783210193118,2.1362830044410597,0.042105263157894736
-315.78947368421063,424.49496818218984,2.1362830044410597,0.04736842105263158
-315.78947368421063,433.31172352323324,2.1362830044410597,0.05263157894736842
-315.78947368421063,441.4643082980897,2.1362830044410597,0.05789473684210526
-315.78947368421063,449.05568337622833,2.1362830044410597,0.06315789473684211
